,nth_percentile,m_prop,f_prop,avg_motivation,avg_anxiety,avg_interest,avg_work_ethic,avg_parents,avg_behavior,avg_self,m_motivation,m_anxiety,m_interest,m_work_ethic,m_parents,m_behavior,m_self,f_motivation,f_anxiety,f_interest,f_work_ethic,f_parents,f_behavior,f_self
29,0.29,0.5042270916565676,0.49577290834343235,2.9828558643178678,2.3878850001570786,2.4212195511966312,2.8673655978296178,3.0561313992105057,1.6242256948634408,2.552264648858124,3.0448574499577106,2.3016017696756865,2.4870602426673973,2.8253424963581053,3.092577827389215,1.6890997361994902,2.6622891845202803,2.920133689839572,2.4755047543438904,2.3546814857153064,2.9097363012083823,3.0193071965630343,1.5589660489676627,1.5589660489676627
30,0.3,0.5046747118388769,0.4953252881611231,2.983223422475759,2.3835454590865788,2.4214534868000035,2.8677110689337137,3.0559355470216323,1.6231740904454268,2.5558090936820137,3.0454961552544857,2.297002925950973,2.4871048364701562,2.8254228453201122,3.0923833644683736,1.6877562724661765,2.6656728270285517,2.9201114208649375,2.471609439700991,2.3549876205073326,2.9104330278397237,3.0190444157592817,1.5580810264626364,1.5580810264626364
31,0.31,0.5050670231686502,0.4949329768313499,2.983689334992547,2.379217657946791,2.4216372211203625,2.8680799746495356,3.0557864018065404,1.6220591276771763,2.5594111238319326,3.0461204361398906,2.292632251003326,2.487395053324257,2.8257125382260955,3.0923747038788627,1.6864399220551103,2.669133725819974,2.9203125861150405,2.467482380943528,2.3549545776689644,2.910958013778439,3.0186893756266895,1.5570623060440372,1.5570623060440372
32,0.32,0.5055477640829605,0.4944522359170395,2.9841006158929058,2.374726373739798,2.422022210779743,2.868417286367021,3.055640300617418,1.6212188881840401,2.5631923457170536,3.0468408736349453,2.2885802269343927,2.4878433231471595,2.825897568685137,3.0921429472332487,1.6853630992134165,2.6725289391004106,2.9202881303726933,2.4627412817339076,2.355144163775286,2.9115318340751055,3.0185593170021625,1.5563356164383562,1.5563356164383562
33,0.33,0.5060506422469424,0.4939493577530576,2.984783639068388,2.3706797000184605,2.4226404975395877,2.8688290148105673,3.055786657108108,1.6204092370997494,2.5665679671866126,3.0477105801413167,2.284694728361218,2.488494894390824,2.826198045596959,3.0922617099724232,1.6842136172291964,2.675655374445991,2.920648043739873,2.4587572573292906,2.3555956935754905,2.9121387652190336,3.018659687524771,1.5557432432432432,1.5557432432432432
34,0.34,0.5065130416872117,0.49348695831278827,2.9854343826266017,2.366615328341126,2.4232810932199342,2.86940387299193,3.055789482088263,1.6197123143576246,2.570102107782359,3.0487619604808724,2.2803568713895217,2.4893246517262266,2.8266029013229512,3.0924883832010153,1.6830321811680573,2.6791086987572856,2.9207916738908475,2.4551656197573095,2.355938664041843,2.9129478621331044,3.0183795078160607,1.555440084784313,1.555440084784313
35,0.35000000000000003,0.5071544447542521,0.4928455552457479,2.9860667557000737,2.36241850015917,2.4237433852810075,2.8700143740533606,3.0558773324775146,1.6189510329258838,2.57365152746883,3.049346289583672,2.276039760359123,2.4896471840916283,2.8270106548440492,3.092649595670062,1.6820124573560253,2.68261847529126,2.921268865014152,2.4512696541269774,2.3563362178921134,2.91390565394693,3.0182779094660313,1.554742236085964,1.554742236085964
36,0.36,0.5075865750746115,0.4924134249253885,2.986756763391761,2.3583144580527104,2.4244620070961425,2.8704097436791285,3.0560731675222232,1.6184027949542419,2.5774194029330206,3.049678570389691,2.2720797609515526,2.489632254990617,2.8270887991429787,3.0924258827583473,1.6809830902019183,2.685825292125778,2.922210231059212,2.447195466851839,2.3576833788334697,2.914703889385373,3.0188424182489237,1.5545768842614334,1.5545768842614334
37,0.37,0.5081271183947756,0.49187288160522435,2.987270487183196,2.354029402729172,2.4250504929309895,2.8709498011652106,3.0558669674942145,1.6175141200353755,2.5811922737026816,3.0503699585764465,2.267632687447397,2.490295812448198,2.827421659521976,3.092416264153872,1.6798147743198784,2.689453505234471,2.9223919025554905,2.4432898482459016,2.358041143088772,2.9155617767693958,3.018346914859533,1.553816780317273,1.553816780317273
38,0.38,0.5087797362094385,0.49122026379056144,2.9880458960574385,2.349385658895331,2.426048935068101,2.8714915832157257,3.056115813885936,1.6169390233944392,2.585467301942103,3.0512843542302854,2.263219384677308,2.49092801457122,2.8278930317407336,3.0925001924227846,1.6789393313241476,2.693633185220973,2.922820190833016,2.4386259033258915,2.359208586363683,2.9163127103237176,3.0186496572967867,1.5533504595122658,1.5533504595122658
